,Unnamed: 0.1,webURL,numViolations,id,finalScore,impact,tags,description,help,helpUrl,html,failureSummary
0,37,https://calendar.google.com/,3,page-has-heading-one,9.0,moderate,"['cat.semantics', 'best-practice']","Ensure that the page, or at least one of its frames contains a level-one heading",Page should contain a level-one heading,https://dequeuniversity.com/rules/axe/4.8/page-has-heading-one?application=playwright,,
1,38,https://calendar.google.com/,3,region,9.0,moderate,"['cat.keyboard', 'best-practice']",Ensures all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.8/region?application=playwright,,
2,36,https://calendar.google.com/,3,landmark-one-main,9.0,moderate,"['cat.semantics', 'best-practice']",Ensures the document has a main landmark,Document should have one main landmark,https://dequeuniversity.com/rules/axe/4.8/landmark-one-main?application=playwright,,
3,0,https://myap.collegeboard.org/,1,page-has-heading-one,3.0,moderate,"['cat.semantics', 'best-practice']","Ensure that the page, or at least one of its frames contains a level-one heading",Page should contain a level-one heading,https://dequeuniversity.com/rules/axe/4.8/page-has-heading-one?application=playwright,,
11,8,https://slack.com/,8,skip-link,26.0,moderate,"['cat.keyboard', 'best-practice']",Ensure all skip links have a focusable target,The skip-link target should exist and be focusable,https://dequeuniversity.com/rules/axe/4.8/skip-link?application=playwright,,
9,6,https://slack.com/,8,landmark-unique,26.0,moderate,"['cat.semantics', 'best-practice']",Landmarks should have a unique role or role/label/title (i.e. accessible name) combination,Ensures landmarks are unique,https://dequeuniversity.com/rules/axe/4.8/landmark-unique?application=playwright,,
8,5,https://slack.com/,8,landmark-no-duplicate-banner,26.0,moderate,"['cat.semantics', 'best-practice']",Ensures the document has at most one banner landmark,Document should not have more than one banner landmark,https://dequeuniversity.com/rules/axe/4.8/landmark-no-duplicate-banner?application=playwright,,
10,7,https://slack.com/,8,region,26.0,moderate,"['cat.keyboard', 'best-practice']",Ensures all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.8/region?application=playwright,,
6,3,https://slack.com/,8,frame-title,26.0,serious,"['cat.text-alternatives', 'wcag2a', 'wcag412', 'section508', 'section508.22.i', 'TTv5', 'TT12.d', 'EN-301-549', 'EN-9.4.1.2']",Ensures <iframe> and <frame> elements have an accessible name,Frames must have an accessible name,https://dequeuniversity.com/rules/axe/4.8/frame-title?application=playwright,,
5,2,https://slack.com/,8,aria-required-attr,26.0,critical,"['cat.aria', 'wcag2a', 'wcag412', 'EN-301-549', 'EN-9.4.1.2']",Ensures elements with ARIA roles have all required ARIA attributes,Required ARIA attributes must be provided,https://dequeuniversity.com/rules/axe/4.8/aria-required-attr?application=playwright,,
4,1,https://slack.com/,8,aria-allowed-role,26.0,minor,"['cat.aria', 'best-practice']",Ensures role attribute has an appropriate value for the element,ARIA role should be appropriate for the element,https://dequeuniversity.com/rules/axe/4.8/aria-allowed-role?application=playwright,,
7,4,https://slack.com/,8,landmark-banner-is-top-level,26.0,moderate,"['cat.semantics', 'best-practice']",Ensures the banner landmark is at top level,Banner landmark should not be contained in another landmark,https://dequeuniversity.com/rules/axe/4.8/landmark-banner-is-top-level?application=playwright,,
12,12,https://soundcloud.com/,4,region,14.0,moderate,"['cat.keyboard', 'best-practice']",Ensures all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.8/region?application=playwright,,
13,10,https://soundcloud.com/,4,meta-viewport,14.0,critical,"['cat.sensory-and-visual-cues', 'wcag2aa', 'wcag144', 'EN-301-549', 'EN-9.1.4.4', 'ACT']","Ensures <meta name=""viewport""> does not disable text scaling and zooming",Zooming and scaling must not be disabled,https://dequeuniversity.com/rules/axe/4.8/meta-viewport?application=playwright,,
14,9,https://soundcloud.com/,4,landmark-one-main,14.0,moderate,"['cat.semantics', 'best-practice']",Ensures the document has a main landmark,Document should have one main landmark,https://dequeuniversity.com/rules/axe/4.8/landmark-one-main?application=playwright,,
15,11,https://soundcloud.com/,4,page-has-heading-one,14.0,moderate,"['cat.semantics', 'best-practice']","Ensure that the page, or at least one of its frames contains a level-one heading",Page should contain a level-one heading,https://dequeuniversity.com/rules/axe/4.8/page-has-heading-one?application=playwright,,
